id,teachingEvent__taxonomyId,university__organizationsId,studyLevels__taxonomyId,weeklySemesterHours,semesters,title.de,title.en,objectives.en,objectives.de,contents.de,contents.en,languages,partOfProgrammesOfStudy,links.homepage.de,links.homepage.en,review.status__id,review.log,review.reviewer__contactsID
community/hu-berlin/das-1x1-der-beschleunigerphysik,/g/academic-teaching/academic-teaching-event/proseminar,community/hu-berlin,/g/academic-teaching/academic-study-programme/bachelor-degree-programme,2,2024-2,Das 1x1 der Beschleunigerphysik,Das 1x1 der Beschleunigerphysik,,Der Kurs vermittelt die Grundlagen der Physik von Teilchenbeschleuniger. Neben der theoretischen Betrachtungen der Teilchendynamik können praktische Programmiererfahrungen gemacht werden. ,"Der Kurs besteht aus Voträgen zu ausgwählten Themen der Beschleunigerphysik und Projektpräsentationen, an dem die Studierenden im Verlauf der Semesters arbeiten. Wir starten mit einer Runde von Besuchen der Beschleuniger am HZB: Die Synchrotronstrahlungsquelle BESSY II, das Cyclotron für die Protonentherapie und die nachhaltige Beschleunigertestanlage SEALAB. Die Vorträge im ersten Teil sollen die Grundprinzipien der Erzeugung, Beschleunigung und Manipulation von Teilchenstrahlen vermitteln, mit Fokus auf die Beam Physik für die vorher besuchten Beschleunigeranlagen. Im Projektteil können die Studierenden entweder ein Programmierprojekt (matlab/python Beschleunigersimulator für transversale oder longitudinale Strahldynamik, Strahlungserzeugung) arbeiten oder einen vertiefenden Votrag zu einem ausgewählten Thema der Beschleunigerphysik (z.B. Kohärenz, Freie Elektronen Laser) vorbereiten.",,de,"",https://agnes.hu-berlin.de/lupo/rds?state=verpublish&status=init&vmfile=no&publishid=218330&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung,,01: preparation,,
community/hu-berlin/das-1x1-der-beschleunigerphysik-(uebungen),/g/academic-teaching/academic-teaching-event/lecture-exercise,community/hu-berlin,/g/academic-teaching/academic-study-programme/bachelor-degree-programme,1,2024-2,Das 1x1 der Beschleunigerphysik (Übungen),Das 1x1 der Beschleunigerphysik (Übungen),,,,,de,"",https://agnes.hu-berlin.de/lupo/rds?state=verpublish&status=init&vmfile=no&publishid=218331&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung,,01: preparation,,
community/hu-berlin/physik-und-technik-moderner-teilchenbeschleuniger,/g/academic-teaching/academic-teaching-event/lecture,community/hu-berlin,/g/academic-teaching/academic-study-programme/master-degree-programme,2,2024-1,Physik und Technik moderner Teilchenbeschleuniger,Physik und Technik moderner Teilchenbeschleuniger,,"Einführung in die Grundlagen und die theoretische Beschreibung der Grundkonzepte der Beschleunigerphysik, sowie der linearen Strahloptik bzw. Strahldynamik und deren Erweiterung in den Bereich nichtlinearer Effekte. Kentnisse verschiedener Beschleunigertypen (Linearbeschleuniger, Rezirkulatoren, Kreisbeschleuniger) und relevanter Technologiefelder (Hochfrequenzsysteme und Beschleunigerkavitäten, Magnetsysteme, Teilchenquellen, Strahldiagnose). ","Lineare und nichtlineare Strahloptik und Strahldynamik, lineare und rezirkulierende Beschleunigersysteme mit normalleitenden und supraleitenden Magneten und Hochfrequenzsystemen, Kreisbeschleuniger, Collider (z.B. LHC), Synchrotronstrahlungsquellen (z.B. BESSY II) und Freie Elektronen Laser (z.B. European XFEL), Teilchenquellen, Strahldiagnose, aktuelle Entwicklungen der Beschleunigerphysik wie z.B. Energy Recovery Linearbeschleuniger.
Im Rahmen der Übungen bzw. nach Absprache: immer mal wieder Besuch der Beschleunigeranlagen des HZB zur Vertiefung des Vorlesungsstoffs. Die Übungen werden wir versuchen teilweise als Fallstudien zu gestalten.",,de,"",https://agnes.hu-berlin.de/lupo/rds?state=verpublish&status=init&vmfile=no&publishid=212130&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung,,01: preparation,,
community/hu-berlin/physik-und-technik-moderner-teilchenbeschleuniger-(uebungen),/g/academic-teaching/academic-teaching-event/lecture-exercise,community/hu-berlin,/g/academic-teaching/academic-study-programme/master-degree-programme,2,2024-1,Physik und Technik moderner Teilchenbeschleuniger (Übungen),Physik und Technik moderner Teilchenbeschleuniger (Übungen),,,,,de,"",https://agnes.hu-berlin.de/lupo/rds?state=verpublish&status=init&vmfile=no&publishid=212131&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung,,01: preparation,,
community/kit/accelerators-and-synchrotron-radiation-for-materials-research-with-tutorials-and-a-practical-training,/g/academic-teaching/academic-teaching-event/block,community/kit,/g/academic-teaching/academic-study-programme/master-degree-programme,5,2024-1,Accelerators and Synchrotron Radiation for Materials Research with Tutorials and a Practical Training,Accelerators and Synchrotron Radiation for Materials Research with Tutorials and a Practical Training,,,,,en,"",https://campus.studium.kit.edu/ev/WNs-nI92TAqXKYhnYBkHrQ/de,,01: preparation,,
community/kit/accelerators-and-detectors---future-technologies-for-research-and-medicine,/g/academic-teaching/academic-teaching-event/hauptseminar,community/kit,/g/academic-teaching/academic-study-programme/master-degree-programme,2,2024-2,Accelerators and Detectors - Future Technologies for Research and Medicine,Accelerators and Detectors - Future Technologies for Research and Medicine,,,,,en,"",https://campus.studium.kit.edu/ev/JqBh6KZqRw-IW0dTJ-slgQ/de,,01: preparation,,
community/kit/modern-accelerators-and-research-with-photons,/g/academic-teaching/academic-teaching-event/hauptseminar,community/kit,/g/academic-teaching/academic-study-programme/master-degree-programme,2,2024-1,Modern Accelerators and Research with Photons,Modern Accelerators and Research with Photons,"Erzeugung von Synchrotronstrahlung in Beschleunigern, neue Konzepte, Eigenschaften der Synchrotronstrahlung, Anwendungen in der Erforschung der kondensierten Materie, neue Materialien und in den Lebenswissenschaften ",,,,en,"",https://campus.studium.kit.edu/ev/3GPhUnhPSmSA9g7f1Tytjg/de,,01: preparation,,
community/kit/beschleunigerphysik,/g/academic-teaching/academic-teaching-event/lecture,community/kit,/g/academic-teaching/academic-study-programme/master-degree-programme,2,2024-1,Beschleunigerphysik,Particle Accelerator Physics,,,,,en,"",https://campus.studium.kit.edu/ev/1YSKJC0AT0WjyfwLTcXyVg/de,,01: preparation,,
community/kit/praktische-uebungen-an-kara-zur-beschleunigerphysik,/g/academic-teaching/academic-teaching-event/laboratory-practical,community/kit,/g/academic-teaching/academic-study-programme/master-degree-programme,1,2024-1,Praktische Übungen an KARA zur Beschleunigerphysik,	Practical Exercises at KARA for Accelerator Physics,,,,,de,"",https://campus.studium.kit.edu/ev/_5YRyK5CQP2XkCgJjpqKVw/de,,01: preparation,,
community/rwth-aachen/accelerator-physics-seminar,/g/academic-teaching/academic-teaching-event/hauptseminar,community/rwth-aachen,/g/academic-teaching/academic-study-programme/master-degree-programme,2,2024-2,Accelerator Physics Seminar,Accelerator Physics Seminar,,,"Proposed Seminar Talks: 
- Synchrotron Radiation 
- Beam Instrumentation 
- Magnet Design 
- Dynamic Aperture 
- Beam Cooling 
- Laser-Plasma Acceleration 
- Acceleration of Polarized Beams 
- Spin Dynamics with EDM ","Content of the lecture:1. Introduction
Literature / Applications / Relativistic kinematics / Types of accelerators
2. Accelerator components
Magnets / Accelerating structures / Injection / Beam diagnostics / vacuum
3. Linear Beam Dynamics in Circular Accelerators
Beam lines / Optical functions / Beam emittance / Hill's DGL
4. Transversal Beam Dynamics
Betatron tune / Beam trajectory / Betatron resonances / Dispersion / Chromaticity
5. Longitudinal Beam Dynamics
Beam trajectory / Separatrix / Phase space
6. Nonlinear Beam dynamics and Collective Effects
Multipoles / Dynamic Aperture / Space charge / Ring impedance
7. Beam Cooling and Luminosity
Beam cooling systems / Targets
8. Spin Dynamics
Thomas-BMT equation / Spin resonances / Spin flipper / Siberian snake
9. Laser Interaction with Matter
Projects / Acceleration mechanisms / Betatron radiation
",en,"",https://online.rwth-aachen.de/RWTHonline/ee/ui/ca2/app/desktop/#/slc.tm.cp/student/courses/498668?$scrollTo=toc_overview,,01: preparation,,
