id,review.status,review.reviewer,review.log,meta.rootId,hasParent,term.full.de,term.full.en,term.short.de,term.short.en,definition.de,definition.en,isAcceleratorResearchSpecific
/,01: in preparation,,,,,_,_,,,,,false
/accelerating-process/,01: in preparation,,,/,/,Beschleunigungsprozess,acceleration process,,,,,true
/accelerating-process/induction-acceleration/,01: in preparation,,,/accelerating-process/,/accelerating-process/,Induktionsbeschleunigung,induction acceleration,,,"Bei der elektrodynamischen (oder elektromagnetischen) Beschleunigung werden elektromagnetische Wechselfelder genutzt, um Energie auf Teilchen zu übertragen.",Electrodynamic (or electromagnetic) acceleration employs changing electromagnetic fields to accelerate particles.,true
/accelerating-process/electrodynamic-acceleration/cavity-based-acceleration/,01: in preparation,,,/accelerating-process/,/accelerating-process/induction-acceleration/,Resonator-basierte Beschleunigung,resonator-based acceleration,,,"Bei der hohlraumbasierten Beschleunigung werden Metallkammern verwendet, in denen dynamische elektromagnetische Felder Energie auf Teilchen übertragen, die den Hohlraum durchqueren.",Cavity Based Acceleration uses metallic chambers containing dynamic electromagnetic fields to transfer energy to particles passing through the cavity.,true
/accelerating-process/electrodynamic-acceleration/cavity-based-acceleration/cavity-based_radiofrequency-driven_acceleration/,01: in preparation,,,/accelerating-process/,/accelerating-process/electrodynamic-acceleration/cavity-based-acceleration/,Hochfrequenz-Rresonator-basierte  Beschleunigung,radio frequency resonator based acceleration,,,,,true
/accelerating-process/electrodynamic-acceleration/cavity-based-acceleration/cavity-based_radiofrequency-driven_acceleration/superconducting-cavity-based-acceleration/cavity-based_radiofrequency-driven_acceleration,01: in preparation,,,/accelerating-process/,/accelerating-process/electrodynamic-acceleration/cavity-based-acceleration/cavity-based_radiofrequency-driven_acceleration/,supraleitende Hochfrequenz-Rresonator-basierte Beschleunigung,superconducting radio frequency resonator based acceleration,,,,,true
/accelerating-process/electrodynamic-acceleration/cavity-based-acceleration/cavity-based_terahertz-driven_acceleration,01: in preparation,,,/accelerating-process/,/accelerating-process/electrodynamic-acceleration/cavity-based-acceleration/,Terahertz-Resonator-basierte Beschleunigung,terahertz frequency resonator based acceleration,,,,,true
/accelerating-process/electrodynamic-acceleration/nanophotonic-acceleration,01: in preparation,,,/accelerating-process/,/accelerating-process/induction-acceleration/,nanophotonische Beschleunigung,nanophotonic acceleration,,,"Nanophotonische Beschleunigung, auch dielektrische Laserbeschleunigung (DLA) genannt, beruht auf der Verwendung ultrakurzer Laserpulse zur Anregung starker dynamischer elektromagnetischer Felder in siliziumbasierten Nanostrukturen. Diese starken Felder können dann Teilchen beschleunigen, die durch die Strukturen hindurchfliegen.","Nanophotonic acceleration, also known as dielectric laser acceleration (DLA), is based on the use of ultrashort laser pulses to excite strong dynamic electromagnetic fields in silicon-based nanostructures. These strong fields can then accelerate particles that fly through the structures.",true
/accelerating-process/electrostatic-acceleration,01: in preparation,,,/accelerating-process/,/accelerating-process/,Elektrostatische Beschleunigung,electrostatic acceleration,,,"Die elektrostatische Beschleunigung nutzt statische elektrische Felder, um geladene Teilchen zu beschleunigen. Bei dieser Methode wird eine konstante Hochspannungspotentialdifferenz zwischen zwei Elektroden verwendet, um Energie auf die Teilchen zu übertragen.",Electrostatic acceleration uses static electric fields to accelerate charged particles. This method uses a constant high voltage potential difference between two electrodes to transfer energy to the particles.,true
/accelerating-process/plasma-based-acceleration/,01: in preparation,,,/accelerating-process/,/accelerating-process/,Plasmabasierte Beschleunigung,plasma-based acceleration,,,,,true
